complaint_num,address,bin,boro,zip,inspection_date,disposition_date,disposition_code,comments,details,disp_num
1247420,264 WATER STREET,1001362,MANHATTAN,10038,2009-02-09,2009-02-17,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,PSWO RESCIND TO DO EMERGENCY BACK FILLING ONLY                                  B#2646 FULL AUDUIT ********CS*****,2
1247420,264 WATER STREET,1001362,MANHATTAN,10038,2009-01-28,2009-01-29,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,SWO ISSUED NOT CONFORM TO APPROVED PLANS MONITORING REPORTS                      SUPERINTENDENT FAILED TO PERFORM DUTIES B#2646 EX/ID#2619,1
1286298,264 WATER STREET,1001362,MANHATTAN,10038,2010-07-30,2010-07-31,F8, COMPLAINT REFERRED TO HOUSING PRESERVATION AND DEVELOPMENT (HPD),REFER TO HPD,1
1312671,264 WATER STREET,1001362,MANHATTAN,10038,2011-11-28,2011-12-01,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,FOUND NO VIOLATING CONDITIONS,1
1340463,264 WATER STREET,1001362,MANHATTAN,10038,2016-05-05,2016-05-05,XX,ADMINISTRATIVE CLOSURE,REMOVE DEBRIS PROVIDE GUARD RAILS AND REMOVE SHED                               B#2651,3
1340463,264 WATER STREET,1001362,MANHATTAN,10038,2013-05-20,2013-05-23,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,FULL SWO WORK WITH EXPIRED CONSTRUCTION SUPER LICENSE                           B#2651,2
1340463,264 WATER STREET,1001362,MANHATTAN,10038,2013-01-07,2013-01-09,WD,WEATHER RLT: NOD ISSUED/RESTRICTED/YLW TAG REMAINS/ENG.EVALUATION REQD,PSWO RESCIND TO PERFORM SAFETY WORK AND PHASE 1 WORK ONLY                       B#2646,1
1354783,264 WATER STREET,1001362,MANHATTAN,10038,2013-08-21,2013-08-22,B1, BUILDINGS VIOLATION(S) PREPARED & ATTEMPT TO SERVE WILL BE MADE,MISSING FIRE RATED MATERIAL FOR WALLS AND CEILINGS THROUGHOU                    CELLAR. FPSC DOES NOT CLOSE,1
1372937,264 WATER STREET,1001362,MANHATTAN,10038,2014-06-04,2014-06-06,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,NO SIGNS OF DAMAGE TO THE ADJACENT PREMISE EX/ID,1
1373616,264 WATER STREET,1001362,MANHATTAN,10038,2014-06-10,2014-06-19,A8, ECB VIOLATION SERVED,"FAILURE TO MAINTAIN WEST BLDG.WALL AND REAR,MASONRY PARAPIT                     WALL IS BOWED OUT OF PLUM/HOLES IN WALL APPROX 12""X12""",1
1375342,264 WATER STREET,1001362,MANHATTAN,10038,2014-07-09,2014-07-10,H1, PLEASE SEE COMPLAINT NUMBER  1373616,SEE REFERENCED COMPLAINT NUMBER,1
1423085,264 WATER STREET,1001362,MANHATTAN,10038,2016-06-14,2016-06-15,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,OK TO COMPLETE PHASE 2 B#2646  EX/ID#2619,2
1423085,264 WATER STREET,1001362,MANHATTAN,10038,2016-06-12,2016-06-13,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,OK TO COMPLETE PHASE 1 B#2646  EX/ID#2619,1
1426284,264 WATER STREET,1001362,MANHATTAN,10038,2016-07-27,2016-08-08,A8, ECB VIOLATION SERVED,"FAILURE TO SAFE GUARD  PUBLIC AND  PROPERTY AFFECTED  BY  CONSTRUCTION  OPERATION/  THE  ENTIRE LOBBY AT  1ST  FLOOR  RENOVATED AND   RAISED  3"" TO 4 ""  INCHES UNDER PERMIT #140106212  WHICH  CREATE  3 TO  4  INCH  DROP IN TO  APARTMENT   #  1C  AND  1B  AND  AT  STAIR  B  LANDING  CREATING  HAZARDOUS  TRIP  CONDITIONS  FOR  OCCUPANTS.",1
1496646,264 WATER STREET,1001362,MANHATTAN,10038,2018-12-10,2018-12-28,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,APARTMENT 4DRENOVATION IS COMPLETED,1
1584405,264 WATER STREET,1001362,MANHATTAN,10038,2021-10-17,2021-10-17,A8,ECB VIOLATION SERVED,PARTIAL SWO ISSUED TO INSTALL TEMPORARY SHORING AS PER PE AP                    PROVAL,2
1584405,264 WATER STREET,1001362,MANHATTAN,10038,2021-10-17,2021-10-17,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,FULL SWO RE ISSUED DUE TO SOE FAILURE,1
1584922,264 WATER STREET,1001362,MANHATTAN,10038,2021-10-21,2021-10-22,A1, BUILDINGS VIOLATION(S) SERVED,"IMMIDLY SHORE&BRACE FLS,ROOF ETC&DRAIN&SECURE TANK.REMOVE/RE                    CNSTRCT DFECTIVE WALL PER NYS LIC PROF'S DIRECTION.FILE WRK",1
1584929,264 WATER STREET,1001362,MANHATTAN,10038,2021-10-21,2021-10-22,A1, BUILDINGS VIOLATION(S) SERVED,COMPLY W/CODE.SPACES NOTED@7FL PENTHOUSE SHOULDN'T BE OCCUPY                    TILL THEY'RE FILED&PRMTTED&SIGNED OFF & C OF O CHANGED,1
1584934,264 WATER STREET,1001362,MANHATTAN,10038,2021-10-21,2021-10-22,A1, BUILDINGS VIOLATION(S) SERVED,FILE CYCLE 8 FISP RPRT UNSAFE.DOB WILL WRK W/OWNR-EXPEDIATE                     ADMIN OF RPRT.OUTSTANDING FINES TO BE RESOLVED W/DOB,1
1585383,264 WATER STREET,1001362,MANHATTAN,10038,2021-10-28,2021-10-28,Y1, FULL VACATE ORDER ISSUED,"VACATE ALL APTS, NORTH&SOUTH SIDES&PENTHS&GROUND FL OFFICES                     VACATE OK TO ALLOW CONSTRUCTION OPERTIONS,SHORING&BRACING",1
1588389,264 WATER STREET,1001362,MANHATTAN,10038,2021-12-08,2021-12-20,RU, INITIATED,NO ACTION NECESSARY - SHED IN PLACEON STREET EXPOSURE-SAFETY                    SUCH AS ADDING TEMPORARY SUPPORT STRUCTURES IS UNDERWAY,1
1074785,20 MURRAY STREET,1001403,MANHATTAN,10007,2000-04-21,2000-04-25,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,REFER TO ERT,3
1074785,20 MURRAY STREET,1001403,MANHATTAN,10007,2000-04-20,2000-04-24,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,APPROVED PLANS WHICH ISSUED ON 05-31-2016 UNDER JOB#140501927 TO RENOVATE APT#3 ITS PRESENT IN THE BUILDING AT TIME OF INSPECTION,2
1074785,20 MURRAY STREET,1001403,MANHATTAN,10007,2000-04-07,2000-04-24,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,NO APPROVED PLANS ON SITE JOB#140501927,1
1076086,23 PARK PLACE,1001403,MANHATTAN,10007,2000-05-23,2000-05-25,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,NO PLUMBING OR CONSTRUCTION IN PROGRESS,1
1078356,23 PARK PLACE,1001403,MANHATTAN,10007,2000-08-11,2006-01-30,L2,STOP WORK ORDER FULLY RESCINDED,"C-1 : NO ACCESS TO BUILDING, ERT HAS SPOKEN TO COMPLAINANT  BY PHONE NUMBER GIVEN, WHEREAS HE WAS NOT AVAILABLE TO GIVE ACCESS AT THIS TIME. RE-INSPECTION NEEDED.",2
1078356,23 PARK PLACE,1001403,MANHATTAN,10007,2000-08-04,2000-08-07,A3,FULL STOP WORK ORDER SERVED,"I-2 : UNABLE TO DETERMINE IF LAYOUT HAS CHANGED, ONLY WORK OB-SERVED WAS        FLOORING WHICH DOES NOT REQUIRE A PERMIT.",1
1091789,23 PARK PLACE,1001403,MANHATTAN,10007,2003-05-01,2003-07-17,I1, COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,PERIODIC INSPECTION PERFORMED AND FOUND NO VIOLATIONS,1
1196907,23 PARK PLACE,1001403,MANHATTAN,10007,2007-06-21,2007-06-21,B1, BUILDINGS VIOLATION(S) PREPARED & ATTEMPT TO SERVE WILL BE MADE,VIOLATION ISSUED FOR SIGN ON FRONT FIRE ESCAPE,1
1226034,23 PARK PLACE,1001403,MANHATTAN,10007,2008-05-14,2008-05-30,A1, BUILDINGS VIOLATION(S) SERVED,NEW WORK NO APPLICATION ON FILE,1
1263212,20 MURRAY STREET,1001403,MANHATTAN,10007,2009-08-15,2009-08-17,A8, ECB VIOLATION SERVED,ECB VIOLATION ISSUED FOR FAILURE TO MAINTAIN IN CODE                            COMPLIANT MANNER,1
1300320,20 MURRAY STREET,1001403,MANHATTAN,10007,2011-04-05,2011-04-06,A9, ECB & BUILDINGS VIOLATIONS SERVED,FAILURE TO MAINTAIN BUILDING WALLS: SECTION OF METAL CORNICE                    FROM FIRST FLOOR FELL TO THE SIDEWALK,1
1301323,20 MURRAY STREET,1001403,MANHATTAN,10007,2011-04-28,2011-04-29,A8,ECB VIOLATION SERVED,NO  ACCESS TO  BUILDING  LS4  POSTED,2
1301323,20 MURRAY STREET,1001403,MANHATTAN,10007,2011-04-25,2011-04-25,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,I2 - ORDINARY REPAIR IN APT 9-(PATCH AND PAINT.) PERMITTED WORK IN APT. 1RS ON  GOING.,1
1314141,20 MURRAY STREET,1001403,MANHATTAN,10007,2011-12-08,2011-12-09,A8,ECB VIOLATION SERVED,C1 NO ACCESS TO REAR OF PREMISES,2
1314141,20 MURRAY STREET,1001403,MANHATTAN,10007,2011-12-08,2011-12-08,A8,ECB VIOLATION SERVED,NO  RESPONSE  TO BELLS  LS4  POSTED,1
1373670,23 PARK PLACE,1001403,MANHATTAN,10007,2014-06-17,2014-06-17,L2,STOP WORK ORDER FULLY RESCINDED,SEE PERMIT #Z153901,3
1373670,23 PARK PLACE,1001403,MANHATTAN,10007,2014-06-13,2014-06-13,L1,PARTIAL STOP WORK ORDER,AT APT#2 CONSTRUCTION WORK CONFIRM TO APPROVED PLAN UNDER JOB# 122656633 - NO HEAT ISSUE AT TIME OF INSPECTION - VIOLATION ISSUED WORK WITHOUT PERMIT TO ELECTRICAL WORK - PARTIAL STOP WORK FOR ELECTRICAL ONLY,2
1373670,23 PARK PLACE,1001403,MANHATTAN,10007,2014-06-13,2014-06-13,E1,COMPLAINT ASSIGNED TO BUILDING MARSHAL'S OFFICE,"C2  NO CONTACT APT OR PHONE # PROVIDED, NO RESPONSE TO KNOCKS OR BELLS, LS4     POSTED",1
1408780,20 MURRAY STREET,1001403,MANHATTAN,10007,2015-10-28,2015-10-28,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,NO ACCESS 2ND ATTEMPT.,2
1408780,20 MURRAY STREET,1001403,MANHATTAN,10007,2015-10-28,2015-10-28,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,NO ACCESS 1ST ATTEMPT C1,1
1463599,23 PARK PLACE,1001403,MANHATTAN,10007,2017-10-17,2017-10-23,A8, ECB VIOLATION SERVED,"FALSE FILING ON PW1 FOR APP # 122450560, ITEM # 26 STATES THAT BLDG. IS UNOCCUPIED AND NOT RENT REGULATED, BLDG. IS OCCUPIED AND RENT REGULATED. INSPECTED ON 10/17/17",1
1463882,23 PARK PLACE,1001403,MANHATTAN,10007,2017-10-26,2017-10-26,A8, ECB VIOLATION SERVED,SUMMONS ISSUED FOR FILING FALSE PW1 APPLICATION# 121917836 FOR FALSELY STATING THAT THE BUILDING IS NOT OCCUPIED AND DOES NOT CONTAIN RENT STABILIZED HOUSING.  BASED ON PHYSICAL INSPECTION AND DEPARTMENT RECORDS.,1
1463887,23 PARK PLACE,1001403,MANHATTAN,10007,2017-10-26,2017-10-27,A8, ECB VIOLATION SERVED,SUMMONS ISSUED FOR FILING FALSE PW1 APPLICATION# 121140540,1
1463890,20 MURRAY STREET,1001403,MANHATTAN,10007,2017-10-26,2017-10-26,A8, ECB VIOLATION SERVED,SUMMONS ISSUED FOR FILING FALSE PW1 APPLICATION# 122024497 FOR FALSELY STATING THAT THE BUILDING IS NOT OCCUPIED AND DOES NOT CONTAIN RENT STABILIZED HOUSING.  BASED ON PHYSICAL INSPECTION AND DEPARTMENT RECORDS.,1
1473760,23 PARK PLACE,1001403,MANHATTAN,10007,2018-08-15,2018-08-15,L2,STOP WORK ORDER FULLY RESCINDED,NO ACCESS,2
1473760,23 PARK PLACE,1001403,MANHATTAN,10007,2018-03-08,2018-03-10,L1,PARTIAL STOP WORK ORDER,.,1
1497731,23 PARK PLACE,1001403,MANHATTAN,10007,2018-12-24,2018-12-24,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,"NAN - OBSERVED SWS IN PLACE, NO VIOLATING CONDITIONS FOUND",1
1497734,23 PARK PLACE,1001403,MANHATTAN,10007,2019-07-02,2019-07-03,Y2,VACATE ORDER FULLY RESCINDED,STAIRS ARE STABLE. NO HAZARDOUS CONDITIONS OBSERVED,2
1497734,23 PARK PLACE,1001403,MANHATTAN,10007,2018-12-21,2018-12-21,Y1,FULL VACATE ORDER ISSUED,NO ACCESS TO PREMISES AT TIME OF INSPECTION LS4 POSTED,1
1514883,23 PARK PLACE,1001403,MANHATTAN,10007,2019-07-02,2019-07-02,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,VACATE EXISTS ON PROPERTY. NO ACCESS.,1
1515603,23 PARK PLACE,1001403,MANHATTAN,10007,2019-07-15,2019-07-15,L2,STOP WORK ORDER FULLY RESCINDED,NO MUSIC BLDG NOT SHAKING VIBRATING NO PILE DRIVING AT SITE,2
1515603,23 PARK PLACE,1001403,MANHATTAN,10007,2019-07-09,2019-07-10,L1,PARTIAL STOP WORK ORDER,NO MUSIC BLDG NOT SHAKING VIBRATING,1
1264173,166 HENRY STREET,1003237,MANHATTAN,10002,2009-08-27,2009-08-28,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,RUBBISH REMOVAL IN PROGRESS.  NO PERMIT REQUIRED,1
1492533,166 HENRY STREET,1003237,MANHATTAN,10002,2018-10-17,2018-10-18,A8, ECB VIOLATION SERVED,OATH SUMMONS ISSUED FOR FALSE FILING FOR PW1 JOB APPLICATION # 123540622,1
1498218,166 HENRY STREET,1003237,MANHATTAN,10002,2019-12-19,2019-12-19,Y4,VACATE ORDER PARTIALLY RESCINDED,X,2
1498218,166 HENRY STREET,1003237,MANHATTAN,10002,2018-12-31,2018-12-31,Y1,FULL VACATE ORDER ISSUED,.,1
1498224,166 HENRY STREET,1003237,MANHATTAN,10002,2019-11-14,2019-11-14,L2,STOP WORK ORDER FULLY RESCINDED,"NO ACCESS 2ND ATTEMPT, POSTED LS4",2
1498224,166 HENRY STREET,1003237,MANHATTAN,10002,2018-12-31,2018-12-31,A3,FULL STOP WORK ORDER SERVED,NO ACCESS,1
1498726,166 HENRY STREET,1003237,MANHATTAN,10002,2019-01-09,2019-01-16,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,AT TIME OF INSPECTION OBSERVED BUILDING WAS VACANT AND THE VACATE ORDER POSTED  ON FRONT DOOR.,1
1564445,166 HENRY STREET,1003237,MANHATTAN,10002,2021-02-17,2021-02-17,A8, ECB VIOLATION SERVED,"AT TIME OF MY INSPECTION BUILDING WAS PADLOCKED CLOSED NO ACCESS INSIDE.I OBSERVED A SIDEWALK SHED ERECTED,SIDEWALK SHED IS MISSING INFORMATION PANEL .",1
1568762,166 HENRY STREET,1003237,MANHATTAN,10002,2021-04-12,2021-04-12,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,observed sws and pipe scaffild erected at 5 sty bldg with no sign of any work   going on,1
1175084,201 EAST BROADWAY,1003703,MANHATTAN,10002,2006-09-28,2006-10-03,A9, ECB & BUILDINGS VIOLATIONS SERVED,NEW PARAPET WALL INSTALLED NEW STEEL LENTILS  NO PERMIT WORK                    COMPLETED,1
1350983,201 EAST BROADWAY,1003703,MANHATTAN,10002,2013-09-08,2013-09-09,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,DEFECT CEMENT STUCCO OF THE EXTERIOR WALL HAVE A HEVY CRACKS                    ON THE N/W/C. AT 89 STREET.  043094CNEAC03-34078892X,2
1350983,201 EAST BROADWAY,1003703,MANHATTAN,10002,2013-09-01,2013-09-06,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,"NO DEFECT TO EXTERIOR WALL, ONLY PART OF STUCCO MISSING",1
1428267,201 EAST BROADWAY,1003703,MANHATTAN,10002,2016-07-19,2016-07-20,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,UNABLE TO GAIN ACCESS,2
1428267,201 EAST BROADWAY,1003703,MANHATTAN,10002,2016-07-14,2016-07-15,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,.,1
1440844,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-01-10,2017-01-10,P6, INITIAL NOTIFICATION ACCEPTED,NOTIFICATION ACCEPTED,1
1452951,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-08-14,2017-08-14,L2,STOP WORK ORDER FULLY RESCINDED,.,5
1452951,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-06-14,2017-06-15,L3,STOP WORK ORDER PARTIALLY RESCINDED,INSPECTOR UNABLE TO GAIN ACCESS. POSTED LS-4 TO FRONT DOOR,4
1452951,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-06-14,2017-06-14,L3,STOP WORK ORDER PARTIALLY RESCINDED,"ACCESS UNAVAILABLE, GARAGE ROLL UP GATE IS DOWN AND LOCKED",3
1452951,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-06-14,2017-06-14,A3,FULL STOP WORK ORDER SERVED,A VIOLATION HAS BEEN SERVED,2
1452951,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-06-14,2017-06-14,E8,COMPLAINT ASSIGNED TO EXCAVATION INSPECTION & AUDITS TEAM,NO ACCESS,1
1453071,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-06-28,2017-06-28,Y2,VACATE ORDER FULLY RESCINDED,"RANG DOOR BELL, KNOCKED ON FRONT DOOR, NO RESPONSE LS4 POSTED ON FRONT DOOR.",2
1453071,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-06-15,2017-06-15,Y1,FULL VACATE ORDER ISSUED,REASSIGNED,1
1460926,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-09-19,2017-10-18,L2,STOP WORK ORDER FULLY RESCINDED,AT THE TIME OF INSPECTION NO UNPERMITED WORK WAS OBSERVED.,2
1460926,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-09-19,2017-09-19,A3,FULL STOP WORK ORDER SERVED,REASSIGNED,1
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-02-06,2018-02-06,L3,STOP WORK ORDER PARTIALLY RESCINDED,OK TO DISMISS VACATE ORDER B242/21,9
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-02-06,2018-02-06,A3,FULL STOP WORK ORDER SERVED,: NO OBJECT TO DISMISS FULL VACATE # B242/2021,8
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-11-28,2018-01-26,L3,STOP WORK ORDER PARTIALLY RESCINDED,"AT TIME OF INSPECTION, NO JOB FILING IN BIS/DOB NOW OR ANY ENGINEERING REPORT FOR THE ASSESSMENT OF THE DAMAGES AND FIXES. SUBJECT PREMISE IS BEING RE-OCCUPIED AT 1ST FLOOR   AS A COMMERCIAL RETAIL SPACE AND FAILURE TO COMPLY WITH COMMISSIONER ORDER TO VACATE. FULL VACATE TO REMAIN.",7
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-11-28,2017-11-28,L3,STOP WORK ORDER PARTIALLY RESCINDED,"Y-1 STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION AT MEZZANINE LEVEL CEILING FINISH HAS BEEN REMOVED, AT 1ST FLOOR DROP CEILING MATERIALS HANG LOOSE AND IN DANGER OF FALLING, THESE ISSUES ARE DUE TO FIRE AT 2811 MERMAID AVE. VACATE BUILDING FORTHWITH",6
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-09-19,2017-11-21,L3,STOP WORK ORDER PARTIALLY RESCINDED,C2 UNABLE TO GAIN ACCESS AT TIME OF INSPECTION ROLL DOWN GATE LOCKED SECOND     ATTEMPT LS4  POSTED,5
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-09-19,2017-11-16,A3,FULL STOP WORK ORDER SERVED,"C-1 BUILDING CLOSED AND LOCKED UP/NO ACCESS TO AREA IN QUESTION, LS4 POSTED",4
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-09-19,2017-10-18,L3,STOP WORK ORDER PARTIALLY RESCINDED,REFER TO ERT,3
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-09-19,2017-09-19,L3,STOP WORK ORDER PARTIALLY RESCINDED,"NO ACTIVITY OR EVIDENCE OF  OCCUPANCY OBSERVED FROM EXTERIOR,VACATE ORDER IN COMPLIANCE WITH PVO STILL POSTED AT FRONT ENTRY DOOR.",2
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-05-01,2018-05-02,L2,STOP WORK ORDER FULLY RESCINDED,APPLICANT FAILED TO KEEP THE SCHEDULE APPOINTMENT. FULL VACATE ORDER # B199/21  RESCIND IS DENIED.,14
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-03-28,2018-04-27,L3,STOP WORK ORDER PARTIALLY RESCINDED,Y-1; FULL VACATE ISSUED TO BUILDING DUE TO FIRE DAMAGE; DOB ISSUED FOR STRUCTURERENDERED NON-COMPLIANT,13
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-03-28,2018-03-29,L3,STOP WORK ORDER PARTIALLY RESCINDED,"AT TIME OF RE INSPECTION ON 8/25/21 THERE WAS NO ACCESS -REI                    NSPECTION FAILED, DOCUMENTATION AS REQUIRED",12
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-03-02,2018-03-02,L3,STOP WORK ORDER PARTIALLY RESCINDED,AT TIME OF RE INSPECTION ON 7/14/21 THERE WAS NO ACCESS -REI                    NSPECTION FAILED,11
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-02-07,2018-02-07,L3,STOP WORK ORDER PARTIALLY RESCINDED,"FULL SWO & OATH SUMMONS ISSUED FOR ACCESS  TO SITE DENIED BY ON SITE            REPRESENTATIVE, AT TIME OF INSPECTION.",10
1460953,201 EAST BROADWAY,1003703,MANHATTAN,10002,2017-09-19,2017-09-19,A3,FULL STOP WORK ORDER SERVED,D1 - REFER  TO BOROUGH,1
1468740,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-03-05,2018-03-06,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,"APPROVED PLANS PROVIDED ON SITE  UNDER ALT.2 JOB # 322015797 WHICH WAS TO OBTAIN FOR RENOVATE OF 4 STORY BUILDING WITH 10 APARTMENTS WHERE 4TH FLOOR APARTMENTS IS APPROX 90% COMPLETE, 3RD FLOOR APTS APPROX 60% , 1ST AND 2ND FLOOR GUTTED. (7)LIGHT BULBS UNDER TEMPORARY SWS ALL FUNCTIONAL. ALL PERMITS AND DOCUMENTS ARE POSTED. HOWEVER SITE FAIL TO MAINTAIN ADEQUATE HOUSEKEEPING, AS THERE IS EXCESSIVE GARBAGE STORED ON SITE. FSWO RESCIND TO PSWO (TO REMOVE ALL EXCESSIVE GARBAGE).",2
1468740,201 EAST BROADWAY,1003703,MANHATTAN,10002,2018-01-02,2018-01-03,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,"2 SUMMONS + FSWO ISSUED FOR WORKER DENYING ACCESS, PLUS 7 LIGHT BULBS FOR TEMPORARY LIGHTING AT SWS IS OUT. PREMISE IS UNDER ACTIVE ALT JOB # 322015797. STOP ALL WORK & MAKE SITE SAFE.",1
