X1,X2,X3,X4,X5,X6
1,10/17/2005,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,1995,10/15/2005
,,,NO ANSWER AT BELLS,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021
,,,ATOI INSPECTOR SHAO OBSERVED VACANT LOT WITH DM JOB321931362                    SIGNED-OFF IN BIS. REFER TO BORO FOR CONSIDERATION,,
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/13/2018
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021
,,,ATOI INSPECTOR SHAO OBSERVED VACANT LOT WITH DM JOB321931371                    SIGNED-OFF IN BIS. REFER TO BORO FOR CONSIDERATION,,
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/19/2018
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,11/19/2018,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2399,11/14/2018
,,,"NO ACTION NECESSARY BY BORO AT THIS TIME, REFERRED TO FEU FOR FURTHER           INVESTIGATION OF ALL BUILDINGS INVOLVED.",,
1,11/08/2018,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2399,11/07/2018
,,,"NO ACCESS STOREFRONTS BOARDED UP DUE TO FIRE , LS-4 POSTED",,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,11/28/2018,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,11/21/2018
,,,EVALUATE THE BUILDING AND PERFORM REPAIRS UNDER PERMIT FILE                     FOR PERMIT NO LATER THAN 1/1/19 START WORK BY 2/1/19,,
1,11/27/2018,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,11/21/2018
,,,OWNER TO IMMEDIATELY SEAL BUILDING AND INSTALL TIGHT BOARD                      FENCE TO SECURE SITE,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,11/21/2019,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2830,11/15/2019
,,,DURING MY INSPECTION I NOTED GATES TO HOUSE WAS CHAIN AND LOCKED - HOUSE LOOK LIKE IS VACANT AND ABANDONED - VACATED BY HPD. - NO DEMO OR ANY CONSTRUCTION WORK BEING DONE - I2.,,
1,11/08/2019,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,3074,11/08/2019
,,,AT TIME OF INSPECTION UNABLE TO GAIN ACCESS TO HOUSE FROM OUTSIDE. FRONT GATE CHAINED AND PAD LOCKED. OBSERVED VACATE ORDER POSTED ON GATE. LS 4 POSTED,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,11/28/2018,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,11/21/2018
,,,ENGAGE A NYS LICENSED PE& CONTR TO EVALU ENTIRE BLDG REPAIR                     BLDG UNDER PERMIT& FILE PERMIT N/L THAN 1/1/19 S/WRK 2/1/19,,
1,11/28/2018,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,11/21/2018
,,,OWNER TO IMMEDIATELY SEAL BUILDING AND INSTALL TIGHT BOARD                      FENCE TO SECURE PREMISE,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
3,01/08/2009,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2331,01/05/2009
,,,ACCESS NOT PROVIDED - RESPONSIBLE PERSON DO NOT HAVE KEYS,,
2,12/26/2008,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1088,12/23/2008
,,,NO RESPONSE TO DOOR BELL/KNOCKS LS4,,
1,12/26/2008,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2361,12/23/2008
,,,NO RESPONSE TO DOOR BELL/KNOCKS LS4,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,11/28/2018,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,11/21/2018
,,,IMMED DEMO BLDG WRK TO BE PERF/UNDER DIRECT& CONTINOUS SUPV                     OF PE& COORD/W FDNY&DOB W/S 11/29/18 FILE PERMIT 12/3/18,,
1,11/28/2018,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,11/21/2018
,,,OWNER TO IMMEDIATELY SEAL BUILDING AND INSTALL TIGHT BOARD                      FENCE TO SECURE PREMISES,,
