X1,X2,X3,X4,X5,X6,complaint_num,address,bin,boro,zip
,,,NO ACCESS,,,1045912,2500 7 AVENUE,1060482,MANHATTAN,10039
,,,,,,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
#,Disposition,Disposition,Disposition,Inspection,Date,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,Date,Code,Disposition,By,Date,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
2,05/24/2019,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,05/24/2019,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,IMMEDIATELY COMPLY WITH COMMISSIONER'S ORDER # 315639,,,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
1,03/28/2019,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,01/16/2019,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,OWN ENGAGE NYS PE&CONTR TO EVALUATE ENTIRE BLDG&REPAIR UNDER                    PERMIT FILE FOR PERMIT BY 4/15/19 START BY 5/1/19,,,3693542,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
#,Disposition,Disposition,Disposition,Inspection,Date,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,Date,Code,Disposition,By,Date,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
2,01/06/2019,W1,VIOLATION SERVED FOR DISOBEYING VACATE ORDER,2634,01/06/2019,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,"W1-DOB ISSUED FOR FAILURE TO COMPLY WITH COMMISSIONER ORDER, DOB ISSUED FOR STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE.(PRIOR A1 ENTERED TO COMMENTS IN ERROR)#2608",,,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
1,01/06/2019,W1,VIOLATION SERVED FOR DISOBEYING VACATE ORDER,2634,01/06/2019,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,"A-1 DOB ISSUED FOR FAILURE TO COMPLY WITH COMMISSIONER ORDER, DOB ISSUED FOR STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE.",,,3681673,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
#,Disposition,Disposition,Disposition,Inspection,Date,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,Date,Code,Disposition,By,Date,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
2,07/19/2013,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2402,07/17/2013,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,UNABLE TO GAIN ACCESS LS4,,,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
1,06/21/2013,C3,ACCESS DENIED - 1ST ATTEMPT,2315,06/20/2013,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,ACCESS DENIED BY A MALE,,,3419244,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
#,Disposition,Disposition,Disposition,Inspection,Date,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,Date,Code,Disposition,By,Date,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
2,04/30/2008,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2269,04/23/2008,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,ACCESS DENIED BY UNKNOWN MALE AT 1ST FLOOR LS4 POSTED,,,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
1,04/18/2008,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2269,04/08/2008,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,ACCESS DENIED BY UNKNOWN MALE LS4 POSTED,,,3258161,737 GEORGIA AVENUE,3097277,BROOKLYN,11207
,,,,,,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
#,Disposition,Disposition,Disposition,Inspection,Date,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
,Date,Code,Disposition,By,Date,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
,,,,,,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
,,,REFER TO BORO.ATOI INSPECTOR SHAO OBSERVED VACANT LOT WITH                      DM JOB#321931353 SIGNED-OFF 9-17-2019,,,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/13/2018,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,,3675844,1663 SHEEPSHEAD BAY ROAD,3204994,BROOKLYN,11235
,,,,,,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
#,Disposition,Disposition,Disposition,Inspection,Date,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
,Date,Code,Disposition,By,Date,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
,,,,,,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
,,,ATOI INSPECTOR SHAO OBSERVED VACANT LOT WITH DM JOB321931371                    AT ADJ PROPERTY SIGNED-OFF.REFER TO BORO FOR CONSIDERATION,,,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/13/2018,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,,3675847,1669 SHEEPSHEAD BAY ROAD,3337322,BROOKLYN,11235
,,,,,,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
#,Disposition,Disposition,Disposition,Inspection,Date,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,Date,Code,Disposition,By,Date,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,,,,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,REFER TO BORO FOR CONSIDERATION.INSPECTOR SHAO OBSERVED VACA                    NT LOT WITH DM JOB#321931371 FOR ADJ PROPERTY SIGNED-OFF,,,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/13/2018,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,,3675848,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,,,,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
#,Disposition,Disposition,Disposition,Inspection,Date,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,Date,Code,Disposition,By,Date,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,,,,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
3,12/05/2005,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0840,11/29/2005,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,BLDG BUILT IN 1925 PRIOR TO C OF O,,,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
2,11/04/2005,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1996,11/02/2005,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,"1, 2 FLOOR TENANTS (COMMERCIAL) UNABLE TO PROVIDE C OF O",,,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
1,10/17/2005,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,1995,10/15/2005,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
,,,NO ANSWER AT BELLS,,,3170053,1671 SHEEPSHEAD BAY ROAD,3337323,BROOKLYN,11235
